symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2025-03-24 04:00:00+00:00,221.0,221.03,218.68,220.34,1325290.0,16797.0,219.794359
AAPL,2025-03-25 04:00:00+00:00,220.83,224.095,220.09,223.72,986365.0,14509.0,222.995961
AAPL,2025-03-26 04:00:00+00:00,223.51,225.005,220.52,221.4,1139694.0,16345.0,222.739028
AAPL,2025-03-27 04:00:00+00:00,221.4,224.99,220.58,223.74,1032394.0,14127.0,223.222471
AAPL,2025-03-28 04:00:00+00:00,221.665,223.8,217.7,217.82,1154636.0,15783.0,219.555864
AAPL,2025-03-31 04:00:00+00:00,217.16,224.11,216.25,222.065,2048529.0,23699.0,220.084105
AAPL,2025-04-01 04:00:00+00:00,219.75,223.48,218.91,223.2,1236713.0,17812.0,222.03579
AAPL,2025-04-02 04:00:00+00:00,221.315,225.17,221.14,223.8,1160708.0,14684.0,223.902474
AAPL,2025-04-03 04:00:00+00:00,205.575,207.425,201.255,203.01,3169742.0,37160.0,204.060987
AAPL,2025-04-04 04:00:00+00:00,193.925,199.87,187.37,188.5,4381706.0,51801.0,193.629111
AAPL,2025-04-07 04:00:00+00:00,177.31,194.11,174.64,181.58,6095672.0,70577.0,180.58336
AAPL,2025-04-08 04:00:00+00:00,186.7,190.31,169.255,172.8,4563523.0,58288.0,180.203858
AAPL,2025-04-09 04:00:00+00:00,172.18,200.57,171.93,198.46,7012998.0,79721.0,186.185166
AAPL,2025-04-10 04:00:00+00:00,189.065,194.75,183.06,190.63,4357948.0,56336.0,189.898656
AAPL,2025-04-11 04:00:00+00:00,186.21,199.49,186.21,198.15,2993809.0,38549.0,195.081304
AAPL,2025-04-14 04:00:00+00:00,211.44,212.87,201.215,202.61,3298316.0,39049.0,205.32485
AAPL,2025-04-15 04:00:00+00:00,202.01,203.5,199.83,202.14,1578400.0,19939.0,202.194516
AAPL,2025-04-16 04:00:00+00:00,198.36,200.54,192.38,194.27,1813064.0,24030.0,195.970842
AAPL,2025-04-17 04:00:00+00:00,197.19,198.82,194.53,196.89,1314801.0,17874.0,196.769187
AAPL,2025-04-21 04:00:00+00:00,193.11,193.8,189.86,193.25,1282577.0,17566.0,191.501666
AAPL,2025-04-22 04:00:00+00:00,196.12,201.55,196.035,199.56,1376819.0,18576.0,199.11063
AAPL,2025-04-23 04:00:00+00:00,206.0,207.94,202.83,204.33,1708419.0,23199.0,205.478101
AAPL,2025-04-24 04:00:00+00:00,205.05,208.8,202.965,208.2,1120255.0,15233.0,206.592145
AAPL,2025-04-25 04:00:00+00:00,206.44,209.43,206.44,209.18,964315.0,13303.0,208.167869
AAPL,2025-04-28 04:00:00+00:00,210.0,211.48,207.48,210.08,831002.0,11714.0,209.540984
AAPL,2025-04-29 04:00:00+00:00,208.68,212.11,208.39,211.22,819139.0,12785.0,211.032769
AAPL,2025-04-30 04:00:00+00:00,209.32,213.51,206.68,212.305,939883.0,14242.0,210.483736
AAPL,2025-05-01 04:00:00+00:00,208.98,214.515,208.98,213.03,1451254.0,19329.0,212.228217
AAPL,2025-05-02 04:00:00+00:00,206.145,206.99,202.19,205.31,2839089.0,30491.0,204.697061
AAPL,2025-05-05 04:00:00+00:00,203.09,204.04,198.225,198.86,1924516.0,26157.0,199.748293
AAPL,2025-05-06 04:00:00+00:00,198.21,200.62,197.36,198.445,1086206.0,14263.0,198.874037
AAPL,2025-05-07 04:00:00+00:00,199.205,199.4,193.26,196.25,1471338.0,19056.0,195.651827
AAPL,2025-05-08 04:00:00+00:00,197.75,200.05,194.69,197.45,1416316.0,17470.0,197.718037
AAPL,2025-05-09 04:00:00+00:00,198.975,200.52,197.54,198.49,767906.0,10814.0,198.741644
AAPL,2025-05-12 04:00:00+00:00,210.985,211.23,206.75,210.8,1348910.0,17783.0,209.287324
AAPL,2025-05-13 04:00:00+00:00,210.435,213.38,209.16,212.89,1089189.0,14893.0,211.476066
AAPL,2025-05-14 04:00:00+00:00,212.34,213.92,210.6,212.3,1020697.0,15368.0,212.262328
AAPL,2025-05-15 04:00:00+00:00,211.05,212.96,209.55,211.33,1104460.0,15270.0,211.263709
AAPL,2025-05-16 04:00:00+00:00,212.36,212.42,209.79,211.21,744422.0,10641.0,211.188514
AAPL,2025-05-19 04:00:00+00:00,207.99,209.47,204.29,208.75,1223105.0,16758.0,207.394682
AAPL,2025-05-20 04:00:00+00:00,207.85,208.465,205.04,206.87,1178321.0,14838.0,207.006112
AAPL,2025-05-21 04:00:00+00:00,205.24,207.03,200.75,202.24,1639501.0,19802.0,203.591571
AAPL,2025-05-22 04:00:00+00:00,200.715,202.65,199.71,201.37,1380855.0,17567.0,201.333769
AAPL,2025-05-23 04:00:00+00:00,193.75,197.69,193.49,195.3,2131818.0,25503.0,196.038808
AAPL,2025-05-27 04:00:00+00:00,198.46,200.725,197.435,200.28,1290367.0,14188.0,199.313344
AAPL,2025-05-28 04:00:00+00:00,200.7,202.72,199.9,200.47,617957.0,8940.0,200.960592
AAPL,2025-05-29 04:00:00+00:00,203.58,203.72,198.56,199.94,1210966.0,14455.0,200.448839
AAPL,2025-05-30 04:00:00+00:00,199.345,201.95,196.82,200.64,1240825.0,17071.0,199.175373
AAPL,2025-06-02 04:00:00+00:00,200.21,202.08,200.13,201.685,839441.0,12047.0,201.10868
AAPL,2025-06-03 04:00:00+00:00,201.49,203.76,200.955,203.33,933488.0,13011.0,202.728475
AAPL,2025-06-04 04:00:00+00:00,202.92,206.23,202.215,202.83,1245814.0,16740.0,203.892681
AAPL,2025-06-05 04:00:00+00:00,203.49,204.74,200.17,200.68,1847413.0,24357.0,202.146614
AAPL,2025-06-06 04:00:00+00:00,203.01,205.67,202.085,203.96,1171926.0,16345.0,204.191839
AAPL,2025-06-09 04:00:00+00:00,204.41,206.0,200.045,201.425,1374703.0,18263.0,202.540282
AAPL,2025-06-10 04:00:00+00:00,200.62,204.33,200.62,202.68,1016332.0,13241.0,202.492521
AAPL,2025-06-11 04:00:00+00:00,203.31,204.48,198.43,198.82,1352311.0,15980.0,200.474283
AAPL,2025-06-12 04:00:00+00:00,198.98,199.68,197.37,199.095,1507561.0,15545.0,198.54698
AAPL,2025-06-13 04:00:00+00:00,199.69,200.3,195.78,196.37,1072719.0,14240.0,197.144205
AAPL,2025-06-16 04:00:00+00:00,197.31,198.66,196.63,198.42,1084142.0,13490.0,197.770438
AAPL,2025-06-17 04:00:00+00:00,197.215,198.37,195.22,195.62,799393.0,10645.0,196.631963
AAPL,2025-06-18 04:00:00+00:00,195.875,197.535,195.07,196.295,917701.0,10932.0,196.350945
AAPL,2025-06-20 04:00:00+00:00,198.015,201.66,196.86,201.03,1310599.0,15216.0,199.409412
AAPL,2025-06-23 04:00:00+00:00,201.625,202.29,198.96,201.53,1178964.0,13655.0,200.947014
AAPL,2025-06-24 04:00:00+00:00,202.59,203.435,200.22,200.3,1698396.0,18404.0,201.678329
AAPL,2025-06-25 04:00:00+00:00,201.425,203.67,200.67,201.55,973861.0,12190.0,201.840543
AAPL,2025-06-26 04:00:00+00:00,201.455,202.575,199.46,201.05,1249214.0,15576.0,200.568925
AAPL,2025-06-27 04:00:00+00:00,201.905,203.2,200.2,201.05,1519293.0,16363.0,201.674101
AAPL,2025-06-30 04:00:00+00:00,202.02,207.36,199.27,205.17,1874120.0,21808.0,202.813913
AAPL,2025-07-01 04:00:00+00:00,206.725,210.18,206.2,207.815,2220671.0,26586.0,208.213103
AAPL,2025-07-02 04:00:00+00:00,208.995,213.32,208.15,212.4,1536101.0,20477.0,211.790821
AAPL,2025-07-03 04:00:00+00:00,212.17,214.625,211.825,213.5,1215376.0,12449.0,213.786901
AAPL,2025-07-07 04:00:00+00:00,212.81,216.2,208.835,209.94,1353483.0,16271.0,211.424696
AAPL,2025-07-08 04:00:00+00:00,210.01,211.43,208.47,210.095,1036309.0,13616.0,209.83366
AAPL,2025-07-09 04:00:00+00:00,209.51,211.3,207.24,211.13,950117.0,12228.0,209.237042
AAPL,2025-07-10 04:00:00+00:00,210.51,213.475,210.24,212.36,1139672.0,13285.0,212.321411
AAPL,2025-07-11 04:00:00+00:00,210.37,212.12,209.87,211.08,813325.0,10497.0,210.909104
AAPL,2025-07-14 04:00:00+00:00,209.945,210.85,207.57,208.65,853368.0,11484.0,208.832094
AAPL,2025-07-15 04:00:00+00:00,209.215,211.89,208.965,209.025,777589.0,11486.0,210.345489
AAPL,2025-07-16 04:00:00+00:00,210.295,212.375,208.66,210.16,974450.0,12431.0,210.561821
AAPL,2025-07-17 04:00:00+00:00,210.64,211.795,209.61,210.13,1067469.0,12402.0,210.697771
AAPL,2025-07-18 04:00:00+00:00,210.73,211.78,209.73,211.16,731112.0,10286.0,210.762752
AAPL,2025-07-21 04:00:00+00:00,212.12,215.775,211.69,212.53,946141.0,11944.0,213.603907
AAPL,2025-07-22 04:00:00+00:00,213.24,214.635,212.255,214.43,964832.0,12357.0,213.476741
AAPL,2025-07-23 04:00:00+00:00,215.02,215.115,212.45,214.23,779641.0,10967.0,213.552708
AAPL,2025-07-24 04:00:00+00:00,213.9,215.68,213.53,213.765,973782.0,11561.0,214.565934
AAPL,2025-07-25 04:00:00+00:00,214.7,215.24,213.4,213.96,728795.0,8594.0,214.19299
AAPL,2025-07-28 04:00:00+00:00,214.04,214.845,213.07,214.0,919301.0,12299.0,214.01041
AAPL,2025-07-29 04:00:00+00:00,214.175,214.8,210.88,211.27,1107896.0,12354.0,212.442007
AAPL,2025-07-30 04:00:00+00:00,211.895,212.37,207.73,208.96,828809.0,12597.0,209.728939
AAPL,2025-07-31 04:00:00+00:00,208.425,209.84,207.18,207.85,1632958.0,19721.0,208.669415
AAPL,2025-08-01 04:00:00+00:00,210.865,213.56,201.5,202.3,1994299.0,27872.0,205.139296
AAPL,2025-08-04 04:00:00+00:00,204.505,207.85,201.68,203.35,1875434.0,19418.0,204.493141
AAPL,2025-08-05 04:00:00+00:00,203.43,205.32,202.165,202.93,968620.0,12539.0,203.742942
AAPL,2025-08-06 04:00:00+00:00,205.63,215.38,205.61,213.275,2182167.0,25261.0,212.895701
AAPL,2025-08-07 04:00:00+00:00,218.92,220.84,216.62,220.17,2508756.0,30254.0,219.230711
AAPL,2025-08-08 04:00:00+00:00,220.89,230.99,219.3,229.365,2830643.0,30531.0,226.828352
AAPL,2025-08-11 04:00:00+00:00,227.92,229.53,224.78,227.22,1715351.0,19063.0,227.635045
AAPL,2025-08-12 04:00:00+00:00,228.03,230.78,227.155,229.63,1250550.0,14198.0,229.362139
AAPL,2025-08-13 04:00:00+00:00,231.05,234.91,230.455,233.22,1586856.0,18059.0,232.822614
AAPL,2025-08-14 04:00:00+00:00,234.01,235.1,230.88,232.78,972239.0,11825.0,232.429103
AAPL,2025-08-15 04:00:00+00:00,233.915,234.19,229.37,231.65,1057450.0,13249.0,231.343673
AAPL,2025-08-18 04:00:00+00:00,231.72,233.12,230.11,230.895,836545.0,10346.0,231.337224
AAPL,2025-08-19 04:00:00+00:00,231.3,232.855,229.35,230.56,787642.0,9689.0,230.999171
AAPL,2025-08-20 04:00:00+00:00,230.03,230.36,225.78,225.975,1167075.0,15378.0,226.789509
AAPL,2025-08-21 04:00:00+00:00,226.27,226.5,223.8,224.9,772469.0,9312.0,225.013695
AAPL,2025-08-22 04:00:00+00:00,226.165,229.09,225.435,227.74,1273052.0,16939.0,227.799355
AAPL,2025-08-25 04:00:00+00:00,226.48,229.3,226.255,227.15,762910.0,10565.0,228.215083
AAPL,2025-08-26 04:00:00+00:00,226.8,229.43,224.7,229.3,923026.0,12282.0,227.088206
AAPL,2025-08-27 04:00:00+00:00,228.7,230.9,228.3,230.5,952676.0,11619.0,230.011086
AAPL,2025-08-28 04:00:00+00:00,230.75,233.4,229.34,232.595,1159353.0,14605.0,232.070137
AAPL,2025-08-29 04:00:00+00:00,232.99,233.31,231.38,232.27,1208045.0,14277.0,232.349425
AAPL,2025-09-02 04:00:00+00:00,229.37,230.78,227.0,229.69,1246862.0,16119.0,228.894496
AAPL,2025-09-03 04:00:00+00:00,237.21,238.655,234.44,238.485,1989098.0,22894.0,236.704893
AAPL,2025-09-04 04:00:00+00:00,238.48,239.895,236.77,239.71,1423459.0,17186.0,238.415434
AAPL,2025-09-05 04:00:00+00:00,239.995,241.32,238.53,239.67,2004733.0,21234.0,239.658325
AAPL,2025-09-08 04:00:00+00:00,239.36,240.1,236.34,237.9,1553530.0,16127.0,238.236726
AAPL,2025-09-09 04:00:00+00:00,236.93,238.77,233.38,234.35,2133357.0,24362.0,235.690098
AAPL,2025-09-10 04:00:00+00:00,232.21,232.26,225.955,226.81,2755480.0,30706.0,227.819633
AAPL,2025-09-11 04:00:00+00:00,226.77,230.45,226.66,229.99,1333481.0,16120.0,229.293279
AAPL,2025-09-12 04:00:00+00:00,229.27,234.5,229.03,234.04,1768033.0,19380.0,233.356661
AAPL,2025-09-15 04:00:00+00:00,236.74,238.19,235.055,236.745,1528759.0,18779.0,236.283622
AAPL,2025-09-16 04:00:00+00:00,237.175,241.21,236.36,238.14,1451954.0,17480.0,239.168589
AAPL,2025-09-17 04:00:00+00:00,238.97,240.055,237.75,238.98,1210638.0,15154.0,239.246326
AAPL,2025-09-18 04:00:00+00:00,239.97,241.155,236.675,237.87,1384022.0,16899.0,237.964554
AAPL,2025-09-19 04:00:00+00:00,241.225,246.24,240.25,245.32,1851825.0,20755.0,243.753153
AAPL,2025-09-22 04:00:00+00:00,248.34,256.63,248.16,256.12,3191331.0,34552.0,253.803977
AAPL,2025-09-23 04:00:00+00:00,255.87,257.285,253.61,254.45,1817392.0,21654.0,255.322501
AAPL,2025-09-24 04:00:00+00:00,255.21,255.68,251.04,252.22,1506113.0,17375.0,252.082779
